Core 0 Temp,Core 1 Temp,Core 2 Temp,Core 3 Temp,Core 4 Temp,Core 5 Temp,Core 6 Temp,Core 7 Temp,,Core 0,Low temp_0,High temp_0,Core_load_0,Core_speed_0,Core 1,Low temp_1,High temp_1,Core load_1,Core speed_1,Core 2,Low temp_2,High temp_2,Core load_2,Core speed_2,Core 3,Low temp_3,High temp_3,Core load_3,Core speed_3,Core 4,Low temp_4,High temp_4,Core load_4,Core speed_4,Core 5,Low temp_5,High temp_5,Core load_5,Core speed_5,Core 6,Low temp_6,High temp_6,Core load_6,Core speed_6,Core 7,Low temp_7,High temp_7 ,Core load_7,Core speed_7,CPU 0 Power
37,38,37,38,37,38,37,40,,,34,60,1,997.56,,34,65,11,997.56,,34,66,2,4588.78,,34,62,1,4588.78,,34,61,2,4588.78,,35,63,0,4588.78,,34,63,1,4588.78,,35,64,2,4588.78,5.4
37,38,37,37,37,38,37,38,,,34,60,2,997.56,,34,65,5,997.56,,34,66,3,4588.78,,34,62,1,4588.78,,34,61,0,4588.78,,35,63,1,4588.78,,34,63,0,4588.78,,35,64,2,4588.78,10.2
40,40,39,40,39,41,42,41,,,34,60,7,4588.78,,34,65,4,4588.78,,34,66,3,4588.78,,34,62,4,4588.78,,34,61,3,4588.78,,35,63,3,4588.78,,34,63,17,4588.78,,35,64,8,4588.78,11.1
45,55,42,45,41,43,43,41,,,34,60,17,4588.78,,34,65,46,4588.78,,34,66,5,4588.78,,34,62,2,4588.78,,34,61,4,4588.78,,35,63,2,4588.78,,34,63,1,4588.78,,35,64,3,4588.78,23.9
46,54,44,46,43,45,44,43,,,34,60,11,4489.02,,34,65,48,4389.26,,34,66,9,4489.02,,34,62,5,4389.26,,34,61,8,4289.51,,35,63,5,4389.26,,34,63,7,4289.51,,35,64,5,4289.51,28.4
48,58,44,47,44,47,46,44,,,34,60,18,4588.78,,34,65,48,4588.78,,34,66,2,4489.02,,34,62,1,4588.78,,34,61,1,4588.78,,35,63,4,4588.78,,34,63,1,4588.78,,35,64,4,4588.78,26.6
49,58,45,48,45,47,46,44,,,34,60,14,4489.02,,34,65,50,4588.78,,34,66,1,4489.02,,34,62,0,4588.78,,34,61,0,4489.02,,35,63,0,4489.02,,34,63,1,4489.02,,35,64,0,4588.78,25
52,58,63,51,51,50,48,47,,,34,60,19,4389.26,,34,65,47,4389.26,,34,66,18,4389.26,,34,62,11,4389.26,,34,61,4,4389.26,,35,63,12,4389.26,,34,63,1,4489.02,,35,64,2,4489.02,31.5
50,60,46,50,46,48,47,46,,,34,60,7,4489.02,,34,65,40,4588.78,,34,66,0,4090,,34,62,0,4389.26,,34,61,3,4489.02,,35,63,1,4588.78,,34,63,0,4489.02,,35,64,1,4489.02,25
50,60,47,50,46,48,48,47,,,34,60,7,4588.78,,34,65,46,4588.78,,34,66,2,4588.78,,34,62,0,4588.78,,34,61,1,4588.78,,35,63,0,4588.78,,34,63,1,4588.78,,35,64,0,4588.78,25.3
